,price
0,"$1,100,000"
1,"$715,000"
2,"$2,250,000"
3,"$300,000"
4,"$1,799,000"
5,"$789,900"
6,"$1,550,000"
7,"$1,050,000"
8,"$1,099,000"
9,"$799,000"
10,"$1,495,000"
11,"$2,095,000"
12,"$3,300,000"
13,"$819,000"
14,"$1,449,000"
15,"$998,000"
16,"$4,185,000"
17,"$995,000"
18,"$394,000"
19,"$400,000"
20,"$1,318,000"
21,"$998,000"
22,"$925,000"
23,"$625,000"
24,"$995,000"
25,"$5,250,000"
26,"$2,750,000"
27,"$868,000"
28,"$978,000"
29,"$799,000"
30,"$510,000"
31,"$400,000"
32,"$7,200,000"
33,"$729,000"
34,"$3,895,000"
35,"$1,825,000"
36,"$899,000"
37,"$4,645,000"
38,"$2,599,000"
39,"$680,000"
40,"$1,095,000"
41,"$3,500"
42,"$1,695,000"
43,"$799,000"
44,"$1,048,000"
45,"$1,995,000"
46,"$2,795,000"
47,"$2,995,000"
48,"$545,000"
49,"$575,000"
50,"$525,000"
51,"$2,195,000"
52,"$1,149,000"
53,"$1,695,000"
54,"$11,750,000"
55,"$995,000"
56,"$1,995,000"
57,"$949,000"
58,"$1,275,000"
59,"$1,150,000"
60,"$960,000"
61,"$565,000"
62,"$1,100,000"
63,"$715,000"
64,"$2,250,000"
65,"$300,000"
66,"$1,799,000"
67,"$789,900"
68,"$1,550,000"
69,"$1,050,000"
70,"$1,099,000"
71,"$799,000"
72,"$1,495,000"
73,"$2,095,000"
74,"$3,300,000"
75,"$819,000"
76,"$1,449,000"
77,"$998,000"
78,"$4,185,000"
79,"$995,000"
80,"$394,000"
81,"$400,000"
82,"$1,318,000"
83,"$998,000"
84,"$925,000"
85,"$625,000"
86,"$995,000"
87,"$5,250,000"
88,"$2,750,000"
89,"$868,000"
90,"$978,000"
91,"$799,000"
92,"$510,000"
93,"$400,000"
94,"$7,200,000"
95,"$729,000"
96,"$3,895,000"
97,"$1,825,000"
98,"$899,000"
99,"$4,645,000"
100,"$2,599,000"
101,"$680,000"
102,"$1,095,000"
103,"$3,500"
104,"$1,695,000"
105,"$799,000"
106,"$1,048,000"
107,"$1,995,000"
108,"$2,795,000"
109,"$2,995,000"
110,"$545,000"
111,"$575,000"
112,"$525,000"
113,"$2,195,000"
114,"$1,149,000"
115,"$1,695,000"
116,"$11,750,000"
117,"$995,000"
118,"$1,995,000"
119,"$949,000"
120,"$1,275,000"
121,"$1,150,000"
122,"$960,000"
123,"$565,000"
124,"$1,100,000"
125,"$715,000"
126,"$2,250,000"
127,"$300,000"
128,"$1,799,000"
129,"$789,900"
130,"$1,550,000"
131,"$1,050,000"
132,"$1,099,000"
133,"$799,000"
134,"$1,495,000"
135,"$2,095,000"
136,"$3,300,000"
137,"$819,000"
138,"$1,449,000"
139,"$998,000"
140,"$4,185,000"
141,"$995,000"
142,"$394,000"
143,"$400,000"
144,"$1,318,000"
145,"$998,000"
146,"$925,000"
147,"$625,000"
148,"$995,000"
149,"$5,250,000"
150,"$2,750,000"
151,"$868,000"
152,"$978,000"
153,"$799,000"
154,"$510,000"
155,"$400,000"
156,"$7,200,000"
157,"$729,000"
158,"$3,895,000"
159,"$1,825,000"
160,"$899,000"
161,"$4,645,000"
162,"$2,599,000"
163,"$680,000"
164,"$1,095,000"
165,"$3,500"
166,"$1,695,000"
167,"$799,000"
168,"$1,048,000"
169,"$1,995,000"
170,"$2,795,000"
171,"$2,995,000"
172,"$545,000"
173,"$575,000"
174,"$525,000"
175,"$2,195,000"
176,"$1,149,000"
177,"$1,695,000"
178,"$11,750,000"
179,"$995,000"
180,"$1,995,000"
181,"$949,000"
182,"$1,275,000"
183,"$1,150,000"
184,"$960,000"
185,"$565,000"
186,"$1,100,000"
187,"$715,000"
188,"$2,250,000"
189,"$300,000"
190,"$1,799,000"
191,"$789,900"
192,"$1,550,000"
193,"$1,050,000"
194,"$1,099,000"
195,"$799,000"
196,"$1,495,000"
197,"$2,095,000"
198,"$3,300,000"
199,"$819,000"
200,"$1,449,000"
201,"$998,000"
202,"$4,185,000"
203,"$995,000"
204,"$394,000"
205,"$400,000"
206,"$1,318,000"
207,"$998,000"
208,"$925,000"
209,"$625,000"
210,"$995,000"
211,"$5,250,000"
212,"$2,750,000"
213,"$868,000"
214,"$978,000"
215,"$799,000"
216,"$510,000"
217,"$400,000"
218,"$7,200,000"
219,"$729,000"
220,"$3,895,000"
221,"$1,825,000"
222,"$899,000"
223,"$4,645,000"
224,"$2,599,000"
225,"$680,000"
226,"$1,095,000"
227,"$3,500"
228,"$1,695,000"
229,"$799,000"
230,"$1,048,000"
231,"$1,995,000"
232,"$2,795,000"
233,"$2,995,000"
234,"$545,000"
235,"$575,000"
236,"$525,000"
237,"$2,195,000"
238,"$1,149,000"
239,"$1,695,000"
240,"$11,750,000"
241,"$995,000"
242,"$1,995,000"
243,"$949,000"
244,"$1,275,000"
245,"$1,150,000"
246,"$960,000"
247,"$565,000"
248,"$1,100,000"
249,"$715,000"
250,"$2,250,000"
251,"$300,000"
252,"$1,799,000"
253,"$789,900"
254,"$1,550,000"
255,"$1,050,000"
256,"$1,099,000"
257,"$799,000"
258,"$1,495,000"
259,"$2,095,000"
260,"$3,300,000"
261,"$819,000"
262,"$1,449,000"
263,"$998,000"
264,"$4,185,000"
265,"$995,000"
266,"$394,000"
267,"$400,000"
268,"$1,318,000"
269,"$998,000"
270,"$925,000"
271,"$625,000"
272,"$995,000"
273,"$5,250,000"
274,"$2,750,000"
275,"$868,000"
276,"$978,000"
277,"$799,000"
278,"$510,000"
279,"$400,000"
280,"$7,200,000"
281,"$729,000"
282,"$3,895,000"
283,"$1,825,000"
284,"$899,000"
285,"$4,645,000"
286,"$2,599,000"
287,"$680,000"
288,"$1,095,000"
289,"$3,500"
290,"$1,695,000"
291,"$799,000"
292,"$1,048,000"
293,"$1,995,000"
294,"$2,795,000"
295,"$2,995,000"
296,"$545,000"
297,"$575,000"
298,"$525,000"
299,"$2,195,000"
300,"$1,149,000"
301,"$1,695,000"
302,"$11,750,000"
303,"$995,000"
304,"$1,995,000"
305,"$949,000"
306,"$1,275,000"
307,"$1,150,000"
308,"$960,000"
309,"$565,000"
310,"$1,100,000"
311,"$715,000"
312,"$2,250,000"
313,"$300,000"
314,"$1,799,000"
315,"$789,900"
316,"$1,550,000"
317,"$1,050,000"
318,"$1,099,000"
319,"$799,000"
320,"$1,495,000"
321,"$2,095,000"
322,"$3,300,000"
323,"$819,000"
324,"$1,449,000"
325,"$998,000"
326,"$4,185,000"
327,"$995,000"
328,"$394,000"
329,"$400,000"
330,"$1,318,000"
331,"$998,000"
332,"$925,000"
333,"$625,000"
334,"$995,000"
335,"$5,250,000"
336,"$2,750,000"
337,"$868,000"
338,"$978,000"
339,"$799,000"
340,"$510,000"
341,"$400,000"
342,"$7,200,000"
343,"$729,000"
344,"$3,895,000"
345,"$1,825,000"
346,"$899,000"
347,"$4,645,000"
